:TYPE,:START_ID,action,:END_ID
EQUALS,0,,1
EQUALS,1,AnyVarRef:Bool:Bool:1 = 0,2
EQUALS,2,AnyVarRef:Bool:Bool:2 = 0,3
EQUALS,3,AnyVarRef:Bool:Bool:5 = 0,4
NOT_EQUALS,3,AnyVarRef:Bool:Bool:5 != 0,6
EQUALS,4,AnyVarRef:Bool:Bool:6 = 0,Dead_End_1
NOT_EQUALS,4,AnyVarRef:Bool:Bool:6 != 0,5
BACKTRACK,4,,3
BACKTRACK,Dead_End_1,,4
EQUALS,5,AnyVarRef:Bool:Bool:8 = 0,Dead_End_2
NOT_EQUALS,5,AnyVarRef:Bool:Bool:8 != 0,Dead_End_3
BACKTRACK,5,,4
BACKTRACK,Dead_End_2,,5
BACKTRACK,Dead_End_3,,5
EQUALS,6,AnyVarRef:Bool:Bool:14 = 0,7
EQUALS,7,AnyVarRef:Bool:Bool:15 = 0,8
EQUALS,8,AnyVarRef:Bool:Bool:16 = 0,9
EQUALS,9,AnyVarRef:Bool:Bool:17 = 0,10
EQUALS,10,AnyVarRef:Bool:Bool:21 = 0,11
NOT_EQUALS,10,AnyVarRef:Bool:Bool:21 != 0,16
EQUALS,11,AnyVarRef:Bool:Bool:22 = 0,12
NOT_EQUALS,11,AnyVarRef:Bool:Bool:22 != 0,13
BACKTRACK,11,,10
EQUALS,12,AnyVarRef:Bool:Bool:27 = 0,Dead_End_4
NOT_EQUALS,12,AnyVarRef:Bool:Bool:27 != 0,Dead_End_5
BACKTRACK,12,,11
BACKTRACK,Dead_End_4,,12
BACKTRACK,Dead_End_5,,12
EQUALS,13,AnyVarRef:Bool:Bool:27 = 0,14
NOT_EQUALS,13,AnyVarRef:Bool:Bool:27 != 0,Dead_End_9
BACKTRACK,13,,11
EQUALS,14,AnyVarRef:Bool:Bool:28 = 0,Dead_End_6
NOT_EQUALS,14,AnyVarRef:Bool:Bool:28 != 0,15
BACKTRACK,14,,13
BACKTRACK,Dead_End_6,,14
EQUALS,15,AnyVarRef:Bool:Bool:33 = 0,Dead_End_7
NOT_EQUALS,15,AnyVarRef:Bool:Bool:33 != 0,Dead_End_8
BACKTRACK,15,,14
BACKTRACK,Dead_End_7,,15
BACKTRACK,Dead_End_8,,15
BACKTRACK,Dead_End_9,,13
EQUALS,16,AnyVarRef:Bool:Bool:36 = 0,17
EQUALS,17,AnyVarRef:Bool:Bool:37 = 0,18
EQUALS,18,AnyVarRef:Bool:Bool:38 = 0,19
NOT_EQUALS,18,AnyVarRef:Bool:Bool:38 != 0,130
EQUALS,19,AnyVarRef:Bool:Bool:39 = 0,20
NOT_EQUALS,19,AnyVarRef:Bool:Bool:39 != 0,72
BACKTRACK,19,,18
EQUALS,20,AnyVarRef:Bool:Bool:40 = 0,Dead_End_10
NOT_EQUALS,20,AnyVarRef:Bool:Bool:40 != 0,21
BACKTRACK,20,,19
BACKTRACK,Dead_End_10,,20
EQUALS,21,AnyVarRef:Bool:Bool:41 = 0,22
NOT_EQUALS,21,AnyVarRef:Bool:Bool:41 != 0,Dead_End_62
BACKTRACK,21,,20
EQUALS,22,AnyVarRef:Bool:Bool:42 = 0,23
NOT_EQUALS,22,AnyVarRef:Bool:Bool:42 != 0,61
BACKTRACK,22,,21
EQUALS,23,AnyVarRef:Bool:Bool:43 = 0,24
NOT_EQUALS,23,AnyVarRef:Bool:Bool:43 != 0,37
BACKTRACK,23,,22
EQUALS,24,AnyVarRef:Bool:Bool:44 = 0,25
NOT_EQUALS,24,AnyVarRef:Bool:Bool:44 != 0,Dead_End_24
BACKTRACK,24,,23
EQUALS,25,AnyVarRef:Bool:Bool:45 = 0,26
NOT_EQUALS,25,AnyVarRef:Bool:Bool:45 != 0,33
BACKTRACK,25,,24
EQUALS,26,AnyVarRef:Bool:Bool:46 = 0,Dead_End_11
NOT_EQUALS,26,AnyVarRef:Bool:Bool:46 != 0,27
BACKTRACK,26,,25
BACKTRACK,Dead_End_11,,26
EQUALS,27,AnyVarRef:Bool:Bool:47 = 0,28
NOT_EQUALS,27,AnyVarRef:Bool:Bool:47 != 0,Dead_End_18
BACKTRACK,27,,26
EQUALS,28,AnyVarRef:Bool:Bool:48 = 0,29
NOT_EQUALS,28,AnyVarRef:Bool:Bool:48 != 0,32
BACKTRACK,28,,27
EQUALS,29,AnyVarRef:Bool:Bool:49 = 0,Dead_End_12
NOT_EQUALS,29,AnyVarRef:Bool:Bool:49 != 0,30
BACKTRACK,29,,28
BACKTRACK,Dead_End_12,,29
EQUALS,30,AnyVarRef:Bool:Bool:50 = 0,31
NOT_EQUALS,30,AnyVarRef:Bool:Bool:50 != 0,Dead_End_15
BACKTRACK,30,,29
EQUALS,31,AnyVarRef:Bool:Bool:53 = 0,Dead_End_13
NOT_EQUALS,31,AnyVarRef:Bool:Bool:53 != 0,Dead_End_14
BACKTRACK,31,,30
BACKTRACK,Dead_End_13,,31
BACKTRACK,Dead_End_14,,31
BACKTRACK,Dead_End_15,,30
