:TYPE,:START_ID,action,:END_ID
EQUALS,0,,1
EQUALS,1,AnyVarRef:Bool:Bool:0 = 0,2
EQUALS,2,AnyVarRef:Bool:Bool:1 = 0,3
EQUALS,3,AnyVarRef:Bool:Bool:2 = 0,4
EQUALS,4,AnyVarRef:Bool:Bool:3 = 0,5
NOT_EQUALS,4,AnyVarRef:Bool:Bool:3 != 0,10
EQUALS,5,AnyVarRef:Bool:Bool:4 = 0,6
NOT_EQUALS,5,AnyVarRef:Bool:Bool:4 != 0,7
BACKTRACK,5,,4
EQUALS,6,AnyVarRef:Bool:Bool:5 = 0,Dead_End_1
NOT_EQUALS,6,AnyVarRef:Bool:Bool:5 != 0,Dead_End_2
BACKTRACK,6,,5
BACKTRACK,Dead_End_1,,6
BACKTRACK,Dead_End_2,,6
EQUALS,7,AnyVarRef:Bool:Bool:5 = 0,8
NOT_EQUALS,7,AnyVarRef:Bool:Bool:5 != 0,Dead_End_6
BACKTRACK,7,,5
EQUALS,8,AnyVarRef:Bool:Bool:6 = 0,Dead_End_3
NOT_EQUALS,8,AnyVarRef:Bool:Bool:6 != 0,9
BACKTRACK,8,,7
BACKTRACK,Dead_End_3,,8
EQUALS,9,AnyVarRef:Bool:Bool:8 = 0,Dead_End_4
NOT_EQUALS,9,AnyVarRef:Bool:Bool:8 != 0,Dead_End_5
BACKTRACK,9,,8
BACKTRACK,Dead_End_4,,9
BACKTRACK,Dead_End_5,,9
BACKTRACK,Dead_End_6,,7
EQUALS,10,AnyVarRef:Bool:Bool:5 = 0,11
NOT_EQUALS,10,AnyVarRef:Bool:Bool:5 != 0,17
EQUALS,11,AnyVarRef:Bool:Bool:6 = 0,12
NOT_EQUALS,11,AnyVarRef:Bool:Bool:6 != 0,14
BACKTRACK,11,,10
EQUALS,12,AnyVarRef:Bool:Bool:7 = 0,Dead_End_7
NOT_EQUALS,12,AnyVarRef:Bool:Bool:7 != 0,13
BACKTRACK,12,,11
BACKTRACK,Dead_End_7,,12
EQUALS,13,AnyVarRef:Bool:Bool:8 = 0,Dead_End_8
NOT_EQUALS,13,AnyVarRef:Bool:Bool:8 != 0,Dead_End_9
BACKTRACK,13,,12
BACKTRACK,Dead_End_8,,13
BACKTRACK,Dead_End_9,,13
EQUALS,14,AnyVarRef:Bool:Bool:8 = 0,15
NOT_EQUALS,14,AnyVarRef:Bool:Bool:8 != 0,Dead_End_13
BACKTRACK,14,,11
EQUALS,15,AnyVarRef:Bool:Bool:9 = 0,Dead_End_10
NOT_EQUALS,15,AnyVarRef:Bool:Bool:9 != 0,16
BACKTRACK,15,,14
BACKTRACK,Dead_End_10,,15
EQUALS,16,AnyVarRef:Bool:Bool:11 = 0,Dead_End_11
NOT_EQUALS,16,AnyVarRef:Bool:Bool:11 != 0,Dead_End_12
BACKTRACK,16,,15
BACKTRACK,Dead_End_11,,16
BACKTRACK,Dead_End_12,,16
BACKTRACK,Dead_End_13,,14
EQUALS,17,AnyVarRef:Bool:Bool:14 = 0,18
EQUALS,18,AnyVarRef:Bool:Bool:15 = 0,19
EQUALS,19,AnyVarRef:Bool:Bool:16 = 0,20
EQUALS,20,AnyVarRef:Bool:Bool:17 = 0,21
EQUALS,21,AnyVarRef:Bool:Bool:21 = 0,22
NOT_EQUALS,21,AnyVarRef:Bool:Bool:21 != 0,27
EQUALS,22,AnyVarRef:Bool:Bool:22 = 0,23
NOT_EQUALS,22,AnyVarRef:Bool:Bool:22 != 0,24
BACKTRACK,22,,21
EQUALS,23,AnyVarRef:Bool:Bool:27 = 0,Dead_End_14
NOT_EQUALS,23,AnyVarRef:Bool:Bool:27 != 0,Dead_End_15
BACKTRACK,23,,22
BACKTRACK,Dead_End_14,,23
BACKTRACK,Dead_End_15,,23
EQUALS,24,AnyVarRef:Bool:Bool:27 = 0,25
NOT_EQUALS,24,AnyVarRef:Bool:Bool:27 != 0,Dead_End_19
BACKTRACK,24,,22
EQUALS,25,AnyVarRef:Bool:Bool:28 = 0,Dead_End_16
NOT_EQUALS,25,AnyVarRef:Bool:Bool:28 != 0,26
BACKTRACK,25,,24
BACKTRACK,Dead_End_16,,25
EQUALS,26,AnyVarRef:Bool:Bool:33 = 0,Dead_End_17
NOT_EQUALS,26,AnyVarRef:Bool:Bool:33 != 0,Dead_End_18
BACKTRACK,26,,25
BACKTRACK,Dead_End_17,,26
BACKTRACK,Dead_End_18,,26
BACKTRACK,Dead_End_19,,24
EQUALS,27,AnyVarRef:Bool:Bool:36 = 0,28
EQUALS,28,AnyVarRef:Bool:Bool:37 = 0,29
EQUALS,29,AnyVarRef:Bool:Bool:38 = 0,30
NOT_EQUALS,29,AnyVarRef:Bool:Bool:38 != 0,141
EQUALS,30,AnyVarRef:Bool:Bool:39 = 0,31
NOT_EQUALS,30,AnyVarRef:Bool:Bool:39 != 0,83
BACKTRACK,30,,29
EQUALS,31,AnyVarRef:Bool:Bool:40 = 0,Dead_End_20
NOT_EQUALS,31,AnyVarRef:Bool:Bool:40 != 0,32
BACKTRACK,31,,30
BACKTRACK,Dead_End_20,,31
EQUALS,32,AnyVarRef:Bool:Bool:41 = 0,33
NOT_EQUALS,32,AnyVarRef:Bool:Bool:41 != 0,Dead_End_72
BACKTRACK,32,,31
EQUALS,33,AnyVarRef:Bool:Bool:42 = 0,34
NOT_EQUALS,33,AnyVarRef:Bool:Bool:42 != 0,72
BACKTRACK,33,,32
EQUALS,34,AnyVarRef:Bool:Bool:43 = 0,35
NOT_EQUALS,34,AnyVarRef:Bool:Bool:43 != 0,48
BACKTRACK,34,,33
EQUALS,35,AnyVarRef:Bool:Bool:44 = 0,36
NOT_EQUALS,35,AnyVarRef:Bool:Bool:44 != 0,Dead_End_34
BACKTRACK,35,,34
EQUALS,36,AnyVarRef:Bool:Bool:45 = 0,37
NOT_EQUALS,36,AnyVarRef:Bool:Bool:45 != 0,44
BACKTRACK,36,,35
EQUALS,37,AnyVarRef:Bool:Bool:46 = 0,Dead_End_21
NOT_EQUALS,37,AnyVarRef:Bool:Bool:46 != 0,38
BACKTRACK,37,,36
BACKTRACK,Dead_End_21,,37
EQUALS,38,AnyVarRef:Bool:Bool:47 = 0,39
NOT_EQUALS,38,AnyVarRef:Bool:Bool:47 != 0,Dead_End_28
BACKTRACK,38,,37
EQUALS,39,AnyVarRef:Bool:Bool:48 = 0,40
NOT_EQUALS,39,AnyVarRef:Bool:Bool:48 != 0,43
BACKTRACK,39,,38
