:TYPE,:START_ID,action,:END_ID
EQUALS,0,,1
EQUALS,1,AnyVarRef:Bool:Bool:0 = 0,2
EQUALS,2,AnyVarRef:Bool:Bool:1 = 0,3
EQUALS,3,AnyVarRef:Bool:Bool:2 = 0,4
EQUALS,4,AnyVarRef:Bool:Bool:3 = 0,5
EQUALS,5,AnyVarRef:Bool:Bool:4 = 0,6
EQUALS,6,AnyVarRef:Bool:Bool:5 = 0,7
EQUALS,7,AnyVarRef:Bool:Bool:6 = 0,8
EQUALS,8,AnyVarRef:Bool:Bool:7 = 0,9
EQUALS,9,AnyVarRef:Bool:Bool:15 = 0,10
NOT_EQUALS,9,AnyVarRef:Bool:Bool:15 != 0,101
EQUALS,10,AnyVarRef:Bool:Bool:16 = 0,11
NOT_EQUALS,10,AnyVarRef:Bool:Bool:16 != 0,73
BACKTRACK,10,,9
EQUALS,11,AnyVarRef:Bool:Bool:17 = 0,12
NOT_EQUALS,11,AnyVarRef:Bool:Bool:17 != 0,52
BACKTRACK,11,,10
EQUALS,12,AnyVarRef:Bool:Bool:18 = 0,13
NOT_EQUALS,12,AnyVarRef:Bool:Bool:18 != 0,37
BACKTRACK,12,,11
EQUALS,13,AnyVarRef:Bool:Bool:19 = 0,14
NOT_EQUALS,13,AnyVarRef:Bool:Bool:19 != 0,27
BACKTRACK,13,,12
EQUALS,14,AnyVarRef:Bool:Bool:20 = 0,15
NOT_EQUALS,14,AnyVarRef:Bool:Bool:20 != 0,21
BACKTRACK,14,,13
EQUALS,15,AnyVarRef:Bool:Bool:21 = 0,16
NOT_EQUALS,15,AnyVarRef:Bool:Bool:21 != 0,18
BACKTRACK,15,,14
EQUALS,16,AnyVarRef:Bool:Bool:22 = 0,Dead_End_1
NOT_EQUALS,16,AnyVarRef:Bool:Bool:22 != 0,17
BACKTRACK,16,,15
BACKTRACK,Dead_End_1,,16
EQUALS,17,AnyVarRef:Bool:Bool:23 = 0,Dead_End_2
NOT_EQUALS,17,AnyVarRef:Bool:Bool:23 != 0,Dead_End_3
BACKTRACK,17,,16
BACKTRACK,Dead_End_2,,17
BACKTRACK,Dead_End_3,,17
EQUALS,18,AnyVarRef:Bool:Bool:23 = 0,19
NOT_EQUALS,18,AnyVarRef:Bool:Bool:23 != 0,Dead_End_7
BACKTRACK,18,,15
EQUALS,19,AnyVarRef:Bool:Bool:24 = 0,Dead_End_4
NOT_EQUALS,19,AnyVarRef:Bool:Bool:24 != 0,20
BACKTRACK,19,,18
BACKTRACK,Dead_End_4,,19
EQUALS,20,AnyVarRef:Bool:Bool:31 = 0,Dead_End_5
NOT_EQUALS,20,AnyVarRef:Bool:Bool:31 != 0,Dead_End_6
BACKTRACK,20,,19
BACKTRACK,Dead_End_5,,20
BACKTRACK,Dead_End_6,,20
BACKTRACK,Dead_End_7,,18
EQUALS,21,AnyVarRef:Bool:Bool:23 = 0,22
NOT_EQUALS,21,AnyVarRef:Bool:Bool:23 != 0,Dead_End_14
BACKTRACK,21,,14
EQUALS,22,AnyVarRef:Bool:Bool:24 = 0,23
NOT_EQUALS,22,AnyVarRef:Bool:Bool:24 != 0,25
BACKTRACK,22,,21
EQUALS,23,AnyVarRef:Bool:Bool:25 = 0,Dead_End_8
NOT_EQUALS,23,AnyVarRef:Bool:Bool:25 != 0,24
BACKTRACK,23,,22
BACKTRACK,Dead_End_8,,23
EQUALS,24,AnyVarRef:Bool:Bool:31 = 0,Dead_End_9
NOT_EQUALS,24,AnyVarRef:Bool:Bool:31 != 0,Dead_End_10
BACKTRACK,24,,23
BACKTRACK,Dead_End_9,,24
BACKTRACK,Dead_End_10,,24
EQUALS,25,AnyVarRef:Bool:Bool:31 = 0,26
NOT_EQUALS,25,AnyVarRef:Bool:Bool:31 != 0,Dead_End_13
BACKTRACK,25,,22
EQUALS,26,AnyVarRef:Bool:Bool:32 = 0,Dead_End_11
NOT_EQUALS,26,AnyVarRef:Bool:Bool:32 != 0,Dead_End_12
BACKTRACK,26,,25
BACKTRACK,Dead_End_11,,26
BACKTRACK,Dead_End_12,,26
BACKTRACK,Dead_End_13,,25
BACKTRACK,Dead_End_14,,21
EQUALS,27,AnyVarRef:Bool:Bool:23 = 0,28
NOT_EQUALS,27,AnyVarRef:Bool:Bool:23 != 0,Dead_End_25
BACKTRACK,27,,13
EQUALS,28,AnyVarRef:Bool:Bool:24 = 0,29
NOT_EQUALS,28,AnyVarRef:Bool:Bool:24 != 0,34
BACKTRACK,28,,27
EQUALS,29,AnyVarRef:Bool:Bool:25 = 0,30
NOT_EQUALS,29,AnyVarRef:Bool:Bool:25 != 0,32
BACKTRACK,29,,28
EQUALS,30,AnyVarRef:Bool:Bool:26 = 0,Dead_End_15
NOT_EQUALS,30,AnyVarRef:Bool:Bool:26 != 0,31
BACKTRACK,30,,29
BACKTRACK,Dead_End_15,,30
EQUALS,31,AnyVarRef:Bool:Bool:31 = 0,Dead_End_16
NOT_EQUALS,31,AnyVarRef:Bool:Bool:31 != 0,Dead_End_17
BACKTRACK,31,,30
BACKTRACK,Dead_End_16,,31
BACKTRACK,Dead_End_17,,31
EQUALS,32,AnyVarRef:Bool:Bool:31 = 0,33
NOT_EQUALS,32,AnyVarRef:Bool:Bool:31 != 0,Dead_End_20
BACKTRACK,32,,29
EQUALS,33,AnyVarRef:Bool:Bool:32 = 0,Dead_End_18
NOT_EQUALS,33,AnyVarRef:Bool:Bool:32 != 0,Dead_End_19
BACKTRACK,33,,32
BACKTRACK,Dead_End_18,,33
BACKTRACK,Dead_End_19,,33
BACKTRACK,Dead_End_20,,32
EQUALS,34,AnyVarRef:Bool:Bool:31 = 0,35
NOT_EQUALS,34,AnyVarRef:Bool:Bool:31 != 0,Dead_End_24
BACKTRACK,34,,28
EQUALS,35,AnyVarRef:Bool:Bool:32 = 0,36
NOT_EQUALS,35,AnyVarRef:Bool:Bool:32 != 0,Dead_End_23
BACKTRACK,35,,34
EQUALS,36,AnyVarRef:Bool:Bool:33 = 0,Dead_End_21
NOT_EQUALS,36,AnyVarRef:Bool:Bool:33 != 0,Dead_End_22
BACKTRACK,36,,35
BACKTRACK,Dead_End_21,,36
BACKTRACK,Dead_End_22,,36
BACKTRACK,Dead_End_23,,35
BACKTRACK,Dead_End_24,,34
BACKTRACK,Dead_End_25,,27
EQUALS,37,AnyVarRef:Bool:Bool:23 = 0,38
NOT_EQUALS,37,AnyVarRef:Bool:Bool:23 != 0,Dead_End_41
BACKTRACK,37,,12
