:TYPE,:START_ID,action,:END_ID
EQUALS,0,,1
EQUALS,1,AnyVarRef:Bool:Bool:0 = 0,2
EQUALS,2,AnyVarRef:Bool:Bool:1 = 0,3
EQUALS,3,AnyVarRef:Bool:Bool:2 = 0,4
EQUALS,4,AnyVarRef:Bool:Bool:3 = 0,5
EQUALS,5,AnyVarRef:Bool:Bool:4 = 0,6
EQUALS,6,AnyVarRef:Bool:Bool:5 = 0,7
EQUALS,7,AnyVarRef:Bool:Bool:6 = 0,8
EQUALS,8,AnyVarRef:Bool:Bool:7 = 0,9
EQUALS,9,AnyVarRef:Bool:Bool:8 = 0,10
NOT_EQUALS,9,AnyVarRef:Bool:Bool:8 != 0,170
EQUALS,10,AnyVarRef:Bool:Bool:9 = 0,11
NOT_EQUALS,10,AnyVarRef:Bool:Bool:9 != 0,107
BACKTRACK,10,,9
EQUALS,11,AnyVarRef:Bool:Bool:10 = 0,12
NOT_EQUALS,11,AnyVarRef:Bool:Bool:10 != 0,66
BACKTRACK,11,,10
EQUALS,12,AnyVarRef:Bool:Bool:11 = 0,13
NOT_EQUALS,12,AnyVarRef:Bool:Bool:11 != 0,41
BACKTRACK,12,,11
EQUALS,13,AnyVarRef:Bool:Bool:12 = 0,14
NOT_EQUALS,13,AnyVarRef:Bool:Bool:12 != 0,27
BACKTRACK,13,,12
EQUALS,14,AnyVarRef:Bool:Bool:13 = 0,15
NOT_EQUALS,14,AnyVarRef:Bool:Bool:13 != 0,20
BACKTRACK,14,,13
EQUALS,15,AnyVarRef:Bool:Bool:14 = 0,16
NOT_EQUALS,15,AnyVarRef:Bool:Bool:14 != 0,17
BACKTRACK,15,,14
EQUALS,16,AnyVarRef:Bool:Bool:15 = 0,Dead_End_1
NOT_EQUALS,16,AnyVarRef:Bool:Bool:15 != 0,Dead_End_2
BACKTRACK,16,,15
BACKTRACK,Dead_End_1,,16
BACKTRACK,Dead_End_2,,16
EQUALS,17,AnyVarRef:Bool:Bool:15 = 0,18
NOT_EQUALS,17,AnyVarRef:Bool:Bool:15 != 0,Dead_End_6
BACKTRACK,17,,15
EQUALS,18,AnyVarRef:Bool:Bool:16 = 0,Dead_End_3
NOT_EQUALS,18,AnyVarRef:Bool:Bool:16 != 0,19
BACKTRACK,18,,17
BACKTRACK,Dead_End_3,,18
EQUALS,19,AnyVarRef:Bool:Bool:23 = 0,Dead_End_4
NOT_EQUALS,19,AnyVarRef:Bool:Bool:23 != 0,Dead_End_5
BACKTRACK,19,,18
BACKTRACK,Dead_End_4,,19
BACKTRACK,Dead_End_5,,19
BACKTRACK,Dead_End_6,,17
EQUALS,20,AnyVarRef:Bool:Bool:15 = 0,21
NOT_EQUALS,20,AnyVarRef:Bool:Bool:15 != 0,Dead_End_14
BACKTRACK,20,,14
EQUALS,21,AnyVarRef:Bool:Bool:16 = 0,22
NOT_EQUALS,21,AnyVarRef:Bool:Bool:16 != 0,24
BACKTRACK,21,,20
EQUALS,22,AnyVarRef:Bool:Bool:17 = 0,Dead_End_7
NOT_EQUALS,22,AnyVarRef:Bool:Bool:17 != 0,23
BACKTRACK,22,,21
BACKTRACK,Dead_End_7,,22
EQUALS,23,AnyVarRef:Bool:Bool:23 = 0,Dead_End_8
NOT_EQUALS,23,AnyVarRef:Bool:Bool:23 != 0,Dead_End_9
BACKTRACK,23,,22
BACKTRACK,Dead_End_8,,23
BACKTRACK,Dead_End_9,,23
EQUALS,24,AnyVarRef:Bool:Bool:23 = 0,25
NOT_EQUALS,24,AnyVarRef:Bool:Bool:23 != 0,Dead_End_13
BACKTRACK,24,,21
EQUALS,25,AnyVarRef:Bool:Bool:24 = 0,Dead_End_10
NOT_EQUALS,25,AnyVarRef:Bool:Bool:24 != 0,26
BACKTRACK,25,,24
BACKTRACK,Dead_End_10,,25
EQUALS,26,AnyVarRef:Bool:Bool:31 = 0,Dead_End_11
NOT_EQUALS,26,AnyVarRef:Bool:Bool:31 != 0,Dead_End_12
BACKTRACK,26,,25
BACKTRACK,Dead_End_11,,26
BACKTRACK,Dead_End_12,,26
BACKTRACK,Dead_End_13,,24
BACKTRACK,Dead_End_14,,20
EQUALS,27,AnyVarRef:Bool:Bool:15 = 0,28
NOT_EQUALS,27,AnyVarRef:Bool:Bool:15 != 0,Dead_End_29
BACKTRACK,27,,13
EQUALS,28,AnyVarRef:Bool:Bool:16 = 0,29
NOT_EQUALS,28,AnyVarRef:Bool:Bool:16 != 0,35
BACKTRACK,28,,27
EQUALS,29,AnyVarRef:Bool:Bool:17 = 0,30
NOT_EQUALS,29,AnyVarRef:Bool:Bool:17 != 0,32
BACKTRACK,29,,28
EQUALS,30,AnyVarRef:Bool:Bool:18 = 0,Dead_End_15
NOT_EQUALS,30,AnyVarRef:Bool:Bool:18 != 0,31
BACKTRACK,30,,29
BACKTRACK,Dead_End_15,,30
EQUALS,31,AnyVarRef:Bool:Bool:23 = 0,Dead_End_16
NOT_EQUALS,31,AnyVarRef:Bool:Bool:23 != 0,Dead_End_17
BACKTRACK,31,,30
BACKTRACK,Dead_End_16,,31
BACKTRACK,Dead_End_17,,31
EQUALS,32,AnyVarRef:Bool:Bool:23 = 0,33
NOT_EQUALS,32,AnyVarRef:Bool:Bool:23 != 0,Dead_End_21
BACKTRACK,32,,29
EQUALS,33,AnyVarRef:Bool:Bool:24 = 0,Dead_End_18
NOT_EQUALS,33,AnyVarRef:Bool:Bool:24 != 0,34
BACKTRACK,33,,32
BACKTRACK,Dead_End_18,,33
EQUALS,34,AnyVarRef:Bool:Bool:31 = 0,Dead_End_19
NOT_EQUALS,34,AnyVarRef:Bool:Bool:31 != 0,Dead_End_20
BACKTRACK,34,,33
BACKTRACK,Dead_End_19,,34
BACKTRACK,Dead_End_20,,34
BACKTRACK,Dead_End_21,,32
EQUALS,35,AnyVarRef:Bool:Bool:23 = 0,36
NOT_EQUALS,35,AnyVarRef:Bool:Bool:23 != 0,Dead_End_28
BACKTRACK,35,,28
EQUALS,36,AnyVarRef:Bool:Bool:24 = 0,37
NOT_EQUALS,36,AnyVarRef:Bool:Bool:24 != 0,39
BACKTRACK,36,,35
EQUALS,37,AnyVarRef:Bool:Bool:25 = 0,Dead_End_22
NOT_EQUALS,37,AnyVarRef:Bool:Bool:25 != 0,38
BACKTRACK,37,,36
BACKTRACK,Dead_End_22,,37
EQUALS,38,AnyVarRef:Bool:Bool:31 = 0,Dead_End_23
NOT_EQUALS,38,AnyVarRef:Bool:Bool:31 != 0,Dead_End_24
