:TYPE,:START_ID,action,:END_ID
EQUALS,0,,1
EQUALS,1,AnyVarRef:Bool:Bool:0 = 0,2
EQUALS,2,AnyVarRef:Bool:Bool:1 = 0,3
EQUALS,3,AnyVarRef:Bool:Bool:2 = 0,4
EQUALS,4,AnyVarRef:Bool:Bool:3 = 0,5
NOT_EQUALS,4,AnyVarRef:Bool:Bool:3 != 0,6
EQUALS,5,AnyVarRef:Bool:Bool:4 = 0,Dead_End_1
NOT_EQUALS,5,AnyVarRef:Bool:Bool:4 != 0,Dead_End_2
BACKTRACK,5,,4
BACKTRACK,Dead_End_1,,5
BACKTRACK,Dead_End_2,,5
EQUALS,6,AnyVarRef:Bool:Bool:4 = 0,7
NOT_EQUALS,6,AnyVarRef:Bool:Bool:4 != 0,9
EQUALS,7,AnyVarRef:Bool:Bool:5 = 0,Dead_End_3
NOT_EQUALS,7,AnyVarRef:Bool:Bool:5 != 0,8
BACKTRACK,7,,6
BACKTRACK,Dead_End_3,,7
EQUALS,8,AnyVarRef:Bool:Bool:6 = 0,Dead_End_4
NOT_EQUALS,8,AnyVarRef:Bool:Bool:6 != 0,Dead_End_5
BACKTRACK,8,,7
BACKTRACK,Dead_End_4,,8
BACKTRACK,Dead_End_5,,8
EQUALS,9,AnyVarRef:Bool:Bool:10 = 0,10
EQUALS,10,AnyVarRef:Bool:Bool:11 = 0,11
EQUALS,11,AnyVarRef:Bool:Bool:12 = 0,12
EQUALS,12,AnyVarRef:Bool:Bool:13 = 0,13
NOT_EQUALS,12,AnyVarRef:Bool:Bool:13 != 0,28
EQUALS,13,AnyVarRef:Bool:Bool:16 = 0,14
NOT_EQUALS,13,AnyVarRef:Bool:Bool:16 != 0,27
BACKTRACK,13,,12
EQUALS,14,AnyVarRef:Bool:Bool:17 = 0,15
NOT_EQUALS,14,AnyVarRef:Bool:Bool:17 != 0,20
BACKTRACK,14,,13
EQUALS,15,AnyVarRef:Bool:Bool:18 = 0,16
NOT_EQUALS,15,AnyVarRef:Bool:Bool:18 != 0,Dead_End_11
BACKTRACK,15,,14
EQUALS,16,AnyVarRef:Bool:Bool:19 = 0,17
NOT_EQUALS,16,AnyVarRef:Bool:Bool:19 != 0,18
BACKTRACK,16,,15
EQUALS,17,AnyVarRef:Bool:Bool:20 = 0,Dead_End_6
NOT_EQUALS,17,AnyVarRef:Bool:Bool:20 != 0,Dead_End_7
BACKTRACK,17,,16
BACKTRACK,Dead_End_6,,17
BACKTRACK,Dead_End_7,,17
EQUALS,18,AnyVarRef:Bool:Bool:20 = 0,19
NOT_EQUALS,18,AnyVarRef:Bool:Bool:20 != 0,Dead_End_10
BACKTRACK,18,,16
EQUALS,19,AnyVarRef:Bool:Bool:21 = 0,Dead_End_8
NOT_EQUALS,19,AnyVarRef:Bool:Bool:21 != 0,Dead_End_9
BACKTRACK,19,,18
BACKTRACK,Dead_End_8,,19
BACKTRACK,Dead_End_9,,19
BACKTRACK,Dead_End_10,,18
BACKTRACK,Dead_End_11,,15
EQUALS,20,AnyVarRef:Bool:Bool:18 = 0,21
NOT_EQUALS,20,AnyVarRef:Bool:Bool:18 != 0,Dead_End_19
BACKTRACK,20,,14
EQUALS,21,AnyVarRef:Bool:Bool:19 = 0,22
NOT_EQUALS,21,AnyVarRef:Bool:Bool:19 != 0,24
BACKTRACK,21,,20
EQUALS,22,AnyVarRef:Bool:Bool:20 = 0,23
NOT_EQUALS,22,AnyVarRef:Bool:Bool:20 != 0,Dead_End_14
BACKTRACK,22,,21
EQUALS,23,AnyVarRef:Bool:Bool:21 = 0,Dead_End_12
NOT_EQUALS,23,AnyVarRef:Bool:Bool:21 != 0,Dead_End_13
BACKTRACK,23,,22
BACKTRACK,Dead_End_12,,23
BACKTRACK,Dead_End_13,,23
BACKTRACK,Dead_End_14,,22
EQUALS,24,AnyVarRef:Bool:Bool:20 = 0,25
NOT_EQUALS,24,AnyVarRef:Bool:Bool:20 != 0,Dead_End_18
BACKTRACK,24,,21
EQUALS,25,AnyVarRef:Bool:Bool:21 = 0,26
NOT_EQUALS,25,AnyVarRef:Bool:Bool:21 != 0,Dead_End_17
BACKTRACK,25,,24
EQUALS,26,AnyVarRef:Bool:Bool:22 = 0,Dead_End_15
NOT_EQUALS,26,AnyVarRef:Bool:Bool:22 != 0,Dead_End_16
BACKTRACK,26,,25
BACKTRACK,Dead_End_15,,26
BACKTRACK,Dead_End_16,,26
BACKTRACK,Dead_End_17,,25
BACKTRACK,Dead_End_18,,24
BACKTRACK,Dead_End_19,,20
EQUALS,27,AnyVarRef:Bool:Bool:18 = 0,Dead_End_20
NOT_EQUALS,27,AnyVarRef:Bool:Bool:18 != 0,Dead_End_21
BACKTRACK,27,,13
BACKTRACK,Dead_End_20,,27
BACKTRACK,Dead_End_21,,27
EQUALS,28,AnyVarRef:Bool:Bool:16 = 0,29
NOT_EQUALS,28,AnyVarRef:Bool:Bool:16 != 0,47
EQUALS,29,AnyVarRef:Bool:Bool:17 = 0,30
NOT_EQUALS,29,AnyVarRef:Bool:Bool:17 != 0,37
BACKTRACK,29,,28
EQUALS,30,AnyVarRef:Bool:Bool:18 = 0,31
NOT_EQUALS,30,AnyVarRef:Bool:Bool:18 != 0,Dead_End_29
BACKTRACK,30,,29
EQUALS,31,AnyVarRef:Bool:Bool:19 = 0,32
NOT_EQUALS,31,AnyVarRef:Bool:Bool:19 != 0,35
BACKTRACK,31,,30
EQUALS,32,AnyVarRef:Bool:Bool:20 = 0,33
NOT_EQUALS,32,AnyVarRef:Bool:Bool:20 != 0,Dead_End_25
BACKTRACK,32,,31
EQUALS,33,AnyVarRef:Bool:Bool:21 = 0,Dead_End_22
NOT_EQUALS,33,AnyVarRef:Bool:Bool:21 != 0,34
BACKTRACK,33,,32
BACKTRACK,Dead_End_22,,33
EQUALS,34,AnyVarRef:Bool:Bool:22 = 0,Dead_End_23
NOT_EQUALS,34,AnyVarRef:Bool:Bool:22 != 0,Dead_End_24
BACKTRACK,34,,33
BACKTRACK,Dead_End_23,,34
BACKTRACK,Dead_End_24,,34
BACKTRACK,Dead_End_25,,32
EQUALS,35,AnyVarRef:Bool:Bool:20 = 0,36
NOT_EQUALS,35,AnyVarRef:Bool:Bool:20 != 0,Dead_End_28
BACKTRACK,35,,31
EQUALS,36,AnyVarRef:Bool:Bool:21 = 0,Dead_End_26
NOT_EQUALS,36,AnyVarRef:Bool:Bool:21 != 0,Dead_End_27
BACKTRACK,36,,35
BACKTRACK,Dead_End_26,,36
