:TYPE,:START_ID,action,:END_ID
EQUALS,0,,1
EQUALS,1,AnyVarRef:Bool:Bool:1 = 0,2
EQUALS,2,AnyVarRef:Bool:Bool:2 = 0,3
EQUALS,3,AnyVarRef:Bool:Bool:4 = 0,4
NOT_EQUALS,3,AnyVarRef:Bool:Bool:4 != 0,6
EQUALS,4,AnyVarRef:Bool:Bool:5 = 0,Dead_End_1
NOT_EQUALS,4,AnyVarRef:Bool:Bool:5 != 0,5
BACKTRACK,4,,3
BACKTRACK,Dead_End_1,,4
EQUALS,5,AnyVarRef:Bool:Bool:6 = 0,Dead_End_2
NOT_EQUALS,5,AnyVarRef:Bool:Bool:6 != 0,Dead_End_3
BACKTRACK,5,,4
BACKTRACK,Dead_End_2,,5
BACKTRACK,Dead_End_3,,5
EQUALS,6,AnyVarRef:Bool:Bool:10 = 0,7
EQUALS,7,AnyVarRef:Bool:Bool:11 = 0,8
EQUALS,8,AnyVarRef:Bool:Bool:12 = 0,9
EQUALS,9,AnyVarRef:Bool:Bool:13 = 0,10
NOT_EQUALS,9,AnyVarRef:Bool:Bool:13 != 0,25
EQUALS,10,AnyVarRef:Bool:Bool:16 = 0,11
NOT_EQUALS,10,AnyVarRef:Bool:Bool:16 != 0,24
BACKTRACK,10,,9
EQUALS,11,AnyVarRef:Bool:Bool:17 = 0,12
NOT_EQUALS,11,AnyVarRef:Bool:Bool:17 != 0,17
BACKTRACK,11,,10
EQUALS,12,AnyVarRef:Bool:Bool:18 = 0,13
NOT_EQUALS,12,AnyVarRef:Bool:Bool:18 != 0,Dead_End_9
BACKTRACK,12,,11
EQUALS,13,AnyVarRef:Bool:Bool:19 = 0,14
NOT_EQUALS,13,AnyVarRef:Bool:Bool:19 != 0,15
BACKTRACK,13,,12
EQUALS,14,AnyVarRef:Bool:Bool:20 = 0,Dead_End_4
NOT_EQUALS,14,AnyVarRef:Bool:Bool:20 != 0,Dead_End_5
BACKTRACK,14,,13
BACKTRACK,Dead_End_4,,14
BACKTRACK,Dead_End_5,,14
EQUALS,15,AnyVarRef:Bool:Bool:20 = 0,16
NOT_EQUALS,15,AnyVarRef:Bool:Bool:20 != 0,Dead_End_8
BACKTRACK,15,,13
EQUALS,16,AnyVarRef:Bool:Bool:21 = 0,Dead_End_6
NOT_EQUALS,16,AnyVarRef:Bool:Bool:21 != 0,Dead_End_7
BACKTRACK,16,,15
BACKTRACK,Dead_End_6,,16
BACKTRACK,Dead_End_7,,16
BACKTRACK,Dead_End_8,,15
BACKTRACK,Dead_End_9,,12
EQUALS,17,AnyVarRef:Bool:Bool:18 = 0,18
NOT_EQUALS,17,AnyVarRef:Bool:Bool:18 != 0,Dead_End_17
BACKTRACK,17,,11
EQUALS,18,AnyVarRef:Bool:Bool:19 = 0,19
NOT_EQUALS,18,AnyVarRef:Bool:Bool:19 != 0,21
BACKTRACK,18,,17
EQUALS,19,AnyVarRef:Bool:Bool:20 = 0,20
NOT_EQUALS,19,AnyVarRef:Bool:Bool:20 != 0,Dead_End_12
BACKTRACK,19,,18
EQUALS,20,AnyVarRef:Bool:Bool:21 = 0,Dead_End_10
NOT_EQUALS,20,AnyVarRef:Bool:Bool:21 != 0,Dead_End_11
BACKTRACK,20,,19
BACKTRACK,Dead_End_10,,20
BACKTRACK,Dead_End_11,,20
BACKTRACK,Dead_End_12,,19
EQUALS,21,AnyVarRef:Bool:Bool:20 = 0,22
NOT_EQUALS,21,AnyVarRef:Bool:Bool:20 != 0,Dead_End_16
BACKTRACK,21,,18
EQUALS,22,AnyVarRef:Bool:Bool:21 = 0,23
NOT_EQUALS,22,AnyVarRef:Bool:Bool:21 != 0,Dead_End_15
BACKTRACK,22,,21
EQUALS,23,AnyVarRef:Bool:Bool:22 = 0,Dead_End_13
NOT_EQUALS,23,AnyVarRef:Bool:Bool:22 != 0,Dead_End_14
BACKTRACK,23,,22
BACKTRACK,Dead_End_13,,23
BACKTRACK,Dead_End_14,,23
BACKTRACK,Dead_End_15,,22
BACKTRACK,Dead_End_16,,21
BACKTRACK,Dead_End_17,,17
EQUALS,24,AnyVarRef:Bool:Bool:18 = 0,Dead_End_18
NOT_EQUALS,24,AnyVarRef:Bool:Bool:18 != 0,Dead_End_19
BACKTRACK,24,,10
BACKTRACK,Dead_End_18,,24
BACKTRACK,Dead_End_19,,24
EQUALS,25,AnyVarRef:Bool:Bool:16 = 0,26
NOT_EQUALS,25,AnyVarRef:Bool:Bool:16 != 0,44
EQUALS,26,AnyVarRef:Bool:Bool:17 = 0,27
NOT_EQUALS,26,AnyVarRef:Bool:Bool:17 != 0,34
BACKTRACK,26,,25
EQUALS,27,AnyVarRef:Bool:Bool:18 = 0,28
NOT_EQUALS,27,AnyVarRef:Bool:Bool:18 != 0,Dead_End_27
BACKTRACK,27,,26
EQUALS,28,AnyVarRef:Bool:Bool:19 = 0,29
NOT_EQUALS,28,AnyVarRef:Bool:Bool:19 != 0,32
BACKTRACK,28,,27
