Problem,Variable Ordering,Pre-processing,Measure,Data
puget10,ldf,GAC,Assignments,596
puget10,ldf,GAC,Solutions,1
puget10,ldf,GAC,Dead Ends,529
puget10,ldf,GAC,Backtracks,1040
puget10,ldf,GAC,Backtracked left branches,120
puget10,ldf,GAC,Average left branch length,15.275000
puget10,ldf,GAC,Longest backtracked left branch,181.000000
puget10,ldf,GAC,Longest chain of successful assignments,12
puget10,ldf,GAC,First ten assignments backtracked,6
puget10,ldf,None,Assignments,596
puget10,ldf,None,Solutions,1
puget10,ldf,None,Dead Ends,529
puget10,ldf,None,Backtracks,1040
puget10,ldf,None,Backtracked left branches,120
puget10,ldf,None,Average left branch length,15.275000
puget10,ldf,None,Longest backtracked left branch,181.000000
puget10,ldf,None,Longest chain of successful assignments,12
puget10,ldf,None,First ten assignments backtracked,6
puget10,ldf,SAC,Assignments,593
puget10,ldf,SAC,Solutions,1
puget10,ldf,SAC,Dead Ends,529
puget10,ldf,SAC,Backtracks,1040
puget10,ldf,SAC,Backtracked left branches,120
puget10,ldf,SAC,Average left branch length,15.275000
puget10,ldf,SAC,Longest backtracked left branch,181.000000
puget10,ldf,SAC,Longest chain of successful assignments,12
puget10,ldf,SAC,First ten assignments backtracked,6
puget10,ldf,SACBounds,Assignments,593
puget10,ldf,SACBounds,Solutions,1
puget10,ldf,SACBounds,Dead Ends,529
puget10,ldf,SACBounds,Backtracks,1040
puget10,ldf,SACBounds,Backtracked left branches,120
puget10,ldf,SACBounds,Average left branch length,15.275000
puget10,ldf,SACBounds,Longest backtracked left branch,181.000000
puget10,ldf,SACBounds,Longest chain of successful assignments,12
puget10,ldf,SACBounds,First ten assignments backtracked,6
puget10,ldf,SSAC,Assignments,582
puget10,ldf,SSAC,Solutions,1
puget10,ldf,SSAC,Dead Ends,519
puget10,ldf,SSAC,Backtracks,1021
puget10,ldf,SSAC,Backtracked left branches,117
puget10,ldf,SSAC,Average left branch length,15.564103
puget10,ldf,SSAC,Longest backtracked left branch,181.000000
puget10,ldf,SSAC,Longest chain of successful assignments,12
puget10,ldf,SSAC,First ten assignments backtracked,3
puget10,ldf,SSACBounds,Assignments,582
puget10,ldf,SSACBounds,Solutions,1
puget10,ldf,SSACBounds,Dead Ends,519
puget10,ldf,SSACBounds,Backtracks,1021
puget10,ldf,SSACBounds,Backtracked left branches,117
puget10,ldf,SSACBounds,Average left branch length,15.564103
puget10,ldf,SSACBounds,Longest backtracked left branch,181.000000
puget10,ldf,SSACBounds,Longest chain of successful assignments,12
puget10,ldf,SSACBounds,First ten assignments backtracked,3
puget10,None,GAC,Assignments,596
puget10,None,GAC,Solutions,1
puget10,None,GAC,Dead Ends,529
puget10,None,GAC,Backtracks,1040
puget10,None,GAC,Backtracked left branches,120
puget10,None,GAC,Average left branch length,15.275000
puget10,None,GAC,Longest backtracked left branch,181.000000
puget10,None,GAC,Longest chain of successful assignments,12
puget10,None,GAC,First ten assignments backtracked,6
puget10,None,None,Assignments,596
puget10,None,None,Solutions,1
puget10,None,None,Dead Ends,529
puget10,None,None,Backtracks,1040
puget10,None,None,Backtracked left branches,120
puget10,None,None,Average left branch length,15.275000
puget10,None,None,Longest backtracked left branch,181.000000
puget10,None,None,Longest chain of successful assignments,12
puget10,None,None,First ten assignments backtracked,6
puget10,None,SAC,Assignments,593
puget10,None,SAC,Solutions,1
puget10,None,SAC,Dead Ends,529
puget10,None,SAC,Backtracks,1040
puget10,None,SAC,Backtracked left branches,120
puget10,None,SAC,Average left branch length,15.275000
puget10,None,SAC,Longest backtracked left branch,181.000000
puget10,None,SAC,Longest chain of successful assignments,12
puget10,None,SAC,First ten assignments backtracked,6
puget10,None,SACBounds,Assignments,593
puget10,None,SACBounds,Solutions,1
puget10,None,SACBounds,Dead Ends,529
puget10,None,SACBounds,Backtracks,1040
puget10,None,SACBounds,Backtracked left branches,120
puget10,None,SACBounds,Average left branch length,15.275000
puget10,None,SACBounds,Longest backtracked left branch,181.000000
puget10,None,SACBounds,Longest chain of successful assignments,12
puget10,None,SACBounds,First ten assignments backtracked,6
puget10,None,SSAC,Assignments,582
puget10,None,SSAC,Solutions,1
puget10,None,SSAC,Dead Ends,519
puget10,None,SSAC,Backtracks,1021
puget10,None,SSAC,Backtracked left branches,117
puget10,None,SSAC,Average left branch length,15.564103
puget10,None,SSAC,Longest backtracked left branch,181.000000
puget10,None,SSAC,Longest chain of successful assignments,12
puget10,None,SSAC,First ten assignments backtracked,3
puget10,None,SSACBounds,Assignments,582
puget10,None,SSACBounds,Solutions,1
puget10,None,SSACBounds,Dead Ends,519
puget10,None,SSACBounds,Backtracks,1021
puget10,None,SSACBounds,Backtracked left branches,117
puget10,None,SSACBounds,Average left branch length,15.564103
puget10,None,SSACBounds,Longest backtracked left branch,181.000000
puget10,None,SSACBounds,Longest chain of successful assignments,12
puget10,None,SSACBounds,First ten assignments backtracked,3
puget10,sdf,GAC,Assignments,596
puget10,sdf,GAC,Solutions,1
puget10,sdf,GAC,Dead Ends,529
puget10,sdf,GAC,Backtracks,1040
puget10,sdf,GAC,Backtracked left branches,120
puget10,sdf,GAC,Average left branch length,15.275000
puget10,sdf,GAC,Longest backtracked left branch,181.000000
puget10,sdf,GAC,Longest chain of successful assignments,12
puget10,sdf,GAC,First ten assignments backtracked,6
puget10,sdf,None,Assignments,596
puget10,sdf,None,Solutions,1
puget10,sdf,None,Dead Ends,529
puget10,sdf,None,Backtracks,1040
puget10,sdf,None,Backtracked left branches,120
puget10,sdf,None,Average left branch length,15.275000
puget10,sdf,None,Longest backtracked left branch,181.000000
puget10,sdf,None,Longest chain of successful assignments,12
puget10,sdf,None,First ten assignments backtracked,6
puget10,sdf,SAC,Assignments,593
puget10,sdf,SAC,Solutions,1
puget10,sdf,SAC,Dead Ends,529
puget10,sdf,SAC,Backtracks,1040
puget10,sdf,SAC,Backtracked left branches,120
puget10,sdf,SAC,Average left branch length,15.275000
puget10,sdf,SAC,Longest backtracked left branch,181.000000
puget10,sdf,SAC,Longest chain of successful assignments,12
puget10,sdf,SAC,First ten assignments backtracked,6
puget10,sdf,SACBounds,Assignments,593
puget10,sdf,SACBounds,Solutions,1
puget10,sdf,SACBounds,Dead Ends,529
puget10,sdf,SACBounds,Backtracks,1040
puget10,sdf,SACBounds,Backtracked left branches,120
puget10,sdf,SACBounds,Average left branch length,15.275000
puget10,sdf,SACBounds,Longest backtracked left branch,181.000000
puget10,sdf,SACBounds,Longest chain of successful assignments,12
puget10,sdf,SACBounds,First ten assignments backtracked,6
puget10,sdf,SSAC,Assignments,582
puget10,sdf,SSAC,Solutions,1
puget10,sdf,SSAC,Dead Ends,519
